Date,Symbol,Strike Price,Bid Price,Ask Price,Last Price,Expiry Date,Call/Put,Class Symbol,Root Symbol,Underlying Symbol
2026-01-02,SPY,,,,683.17,,,,,
2026-01-02,SPY 1/16/26 C669,669,17.29000854,17.58000183,18.29000854,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C670,670,16.41999817,16.71000671,16.75999451,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C671,671,15.56999969,15.90999985,14.98999977,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C672,672,14.75,15.06000042,14.14999962,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C673,673,13.93999958,14.22000027,13.5,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C674,674,13.15999985,13.42000008,12.89999962,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C675,675,12.39999962,12.61999989,12.39999962,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C676,676,11.61999989,11.88000011,11,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C677,677,10.85999966,11.13000011,10.93999958,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C678,678,10.11999989,10.38000011,10,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C679,679,9.420000076,9.659999847,9.300000191,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C680,680,8.760000229,8.930000305,8.930000305,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C681,681,8.069999695,8.270000458,8.300000191,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C682,682,7.470000267,7.550000191,7.520000458,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C683,683,6.880000114,6.909999847,6.900000572,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C684,684,6.280000687,6.31000042,6.270000458,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C685,685,5.699999809,5.730000496,5.699999809,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C686,686,5.150000572,5.180000305,5.140000343,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C687,687,4.630000114,4.659999847,4.699999809,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C688,688,4.140000343,4.170000076,4.11000061,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C689,689,3.680000305,3.710000038,3.720000267,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C690,690,3.260000229,3.289999962,3.270000458,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C691,691,2.859999657,2.890000343,2.890000343,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C692,692,2.5,2.529999733,2.539999962,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C693,693,2.170000076,2.199999809,2.150000572,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C694,694,1.869999886,1.899999619,1.899999619,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C695,695,1.599999428,1.630000114,1.630000114,2026-01-16,0,SPY,SPY,SPY
2026-01-02,SPY 1/16/26 C696,696,1.359999657,1.380000114,1.409999847,2026-01-16,0,SPY,SPY,SPY
